Symbol,Asset class,Type,Region,Revenue,Earnings,Earnings_Ratio,Total_Holding_Percent,maxAge_x,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,yield,totalAssets,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,navPrice,currency,fromCurrency,toCurrency,lastMarket,coinMarketCapLink,algorithm,tradeable,maxAge_y
USXF,Equity,Responsible investing,US,20131889024.470993,8514550030.621002,42.29384545221404,1.273492396000001,1,2,48.15,48.3,48.182,48.53,48.15,48.3,48.182,48.53,34.578064,81463,81463,65604,60210,60210,48.48,48.55,100.0,100.0,0.0105,1085262464.0,33.13,48.53,45.8588,41.430935,0.0,0.0,48.15881,USD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
DSI,Equity,Responsible investing,US,70918037787.37198,23484799968.14699,33.11541139725219,1.6655311919999984,1,2,107.19,107.4,107.2176,107.77,107.19,107.4,107.2176,107.77,31.997448,107097,107097,86926,119000,119000,107.61,107.62,800.0,800.0,0.0105,4596641792.0,77.47,107.95,102.4288,93.93045,0.0,0.0,107.18567,USD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
IYW,Equity,Information technology,US,127174639697.41699,40232735646.87301,31.635816498161596,2.493466824,1,2,156.68,157.04,155.16,157.29,156.68,157.04,155.16,157.29,47.33475,1007975,1007975,910224,722800,722800,155.98,156.0,800.0,800.0,0.0032,20001843200.0,100.84,158.97,144.8916,128.26344,0.032,0.00020423795,156.59131,USD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
CRBN,Equity,Responsible investing,Global,80143766528.78687,23033133806.633976,28.73976954696869,0.9006460079999997,1,2,189.725,190.08,190.08,190.88,189.725,190.08,190.08,190.88,22.320465,4327,4327,7267,10230,10230,190.68,191.06,800.0,1000.0,0.0182,953324800.0,143.49,190.96,182.57138,169.24586,,,189.96986,USD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
IUCE.TO,Equity,Responsible Investing,US,93044569706.55699,26497422477.292995,28.47820411321187,1.5852399919999998,1,2,26.36,25.66,25.66,25.66,26.36,25.66,25.66,25.66,,100,100,3,0,0,26.49,26.57,,,0.0119,2433531.0,20.0,25.66,24.4168,22.4412,,,26.672,CAD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
ESG.TO,Equity,Responsible Investing,US,100249829145.1581,28546167380.1344,28.47502845994938,1.706982848,1,2,41.05,41.2,41.2,41.28,41.05,41.2,41.2,41.28,28.828522,962,962,3114,2280,2280,41.26,41.32,,,0.0097,395792128.0,30.23,41.28,39.1766,35.5773,,,41.0103,CAD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
EFIV,Equity,Responsible investing,US,100322675185.15396,28566532778.941,28.474652142418506,1.7083451839999997,1,2,55.11,55.27,55.14,55.415,55.11,55.27,55.14,55.415,28.121916,26735,26735,92588,201550,201550,55.34,55.36,800.0,900.0,0.0121,1284450944.0,39.9,55.415,52.29488,47.747536,,,55.05018,USD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
DSAE.TO,Equity,Responsible Investing,US,73368058324.615,20438884649.353,27.8580149401279,1.4609648319999993,1,2,24.62,24.88,24.88,24.88,24.62,24.88,24.88,24.88,32.63657,100,100,58,10,10,24.88,24.92,,,0.0026,1194789.0,19.5,24.88,23.8668,22.154,,,24.61,CAD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
QQCE.TO,Equity,Responsible Investing,US,105570043989.69276,29277070339.5248,27.73236538802924,2.018885968,1,2,28.37,28.62,28.26,28.62,28.37,28.62,28.26,28.62,45.879257,3352,3352,1228,1777,1777,28.39,28.42,,,0.0038,143343456.0,19.61,28.65,26.724,23.9789,,,28.3868,CAD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
IUTE.TO,Equity,Responsible Investing,US,89776350203.65201,23248701715.895996,25.89624290044959,1.4487404159999984,1,2,24.18,23.95,23.95,23.95,24.18,23.95,23.95,23.95,25.84383,100,100,92,10,10,24.37,24.4,,,0.0073,8729396.0,19.55,24.08,23.0938,21.5947,,,24.1865,CAD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
